Domain;Task;Skill
"Content Domain 1: Data Ingestion and Transformation (34%)";"Task 1.1: Perform data ingestion";"Skill 1.1.1: Read data from streaming sources (for example, Amazon Kinesis, Amazon MSK, Amazon DynamoDB Streams, AWS DMS, AWS Glue, Amazon Redshift)"
"Content Domain 1: Data Ingestion and Transformation (34%)";"Task 1.1: Perform data ingestion";"Skill 1.1.2: Read data from batch sources (for example, Amazon S3, AWS Glue, Amazon EMR, AWS DMS, Amazon Redshift, AWS Lambda, Amazon AppFlow)"
"Content Domain 1: Data Ingestion and Transformation (34%)";"Task 1.1: Perform data ingestion";"Skill 1.1.3: Implement appropriate configuration options for batch ingestion"
"Content Domain 1: Data Ingestion and Transformation (34%)";"Task 1.1: Perform data ingestion";"Skill 1.1.4: Consume data APIs"
"Content Domain 1: Data Ingestion and Transformation (34%)";"Task 1.1: Perform data ingestion";"Skill 1.1.5: Set up schedulers by using Amazon EventBridge, Apache Airflow, or time-based schedules for jobs and crawlers"
"Content Domain 1: Data Ingestion and Transformation (34%)";"Task 1.1: Perform data ingestion";"Skill 1.1.6: Set up event triggers (for example, Amazon S3 Event Notifications, EventBridge)"
"Content Domain 1: Data Ingestion and Transformation (34%)";"Task 1.1: Perform data ingestion";"Skill 1.1.7: Call a Lambda function from Kinesis"
"Content Domain 1: Data Ingestion and Transformation (34%)";"Task 1.1: Perform data ingestion";"Skill 1.1.8: Create allowlists for IP addresses to allow connections to data sources"
"Content Domain 1: Data Ingestion and Transformation (34%)";"Task 1.1: Perform data ingestion";"Skill 1.1.9: Implement throttling and overcoming rate limits (for example, DynamoDB, Amazon RDS, Kinesis)"
"Content Domain 1: Data Ingestion and Transformation (34%)";"Task 1.1: Perform data ingestion";"Skill 1.1.10: Manage fan-in and fan-out for streaming data distribution"
"Content Domain 1: Data Ingestion and Transformation (34%)";"Task 1.1: Perform data ingestion";"Skill 1.1.11: Describe replayability of data ingestion pipelines"
"Content Domain 1: Data Ingestion and Transformation (34%)";"Task 1.1: Perform data ingestion";"Skill 1.1.12: Define stateful and stateless data transactions"
"Content Domain 1: Data Ingestion and Transformation (34%)";"Task 1.2: Transform and process data";"Skill 1.2.1: Optimize container usage for performance needs (for example, Amazon EKS, Amazon ECS)"
"Content Domain 1: Data Ingestion and Transformation (34%)";"Task 1.2: Transform and process data";"Skill 1.2.2: Connect to different data sources (for example, JDBC, ODBC)"
"Content Domain 1: Data Ingestion and Transformation (34%)";"Task 1.2: Transform and process data";"Skill 1.2.3: Integrate data from multiple sources"
"Content Domain 1: Data Ingestion and Transformation (34%)";"Task 1.2: Transform and process data";"Skill 1.2.4: Optimize costs while processing data"
"Content Domain 1: Data Ingestion and Transformation (34%)";"Task 1.2: Transform and process data";"Skill 1.2.5: Implement data transformation services based on requirements (for example, Amazon EMR, AWS Glue, Lambda, Amazon Redshift)"
"Content Domain 1: Data Ingestion and Transformation (34%)";"Task 1.2: Transform and process data";"Skill 1.2.6: Transform data between formats (for example, from .csv to Apache Parquet)"
"Content Domain 1: Data Ingestion and Transformation (34%)";"Task 1.2: Transform and process data";"Skill 1.2.7: Troubleshoot and debug common transformation failures and performance issues"
"Content Domain 1: Data Ingestion and Transformation (34%)";"Task 1.2: Transform and process data";"Skill 1.2.8: Create data APIs to make data available to other systems by using AWS services"
"Content Domain 1: Data Ingestion and Transformation (34%)";"Task 1.2: Transform and process data";"Skill 1.2.9: Define volume, velocity, and variety of data (for example, structured data, unstructured data)"
"Content Domain 1: Data Ingestion and Transformation (34%)";"Task 1.2: Transform and process data";"Skill 1.2.10: Integrate large language models (LLMs) for data processing"
"Content Domain 1: Data Ingestion and Transformation (34%)";"Task 1.3: Orchestrate data pipelines";"Skill 1.3.1: Use orchestration services to build workflows for data ETL pipelines (for example, Lambda, EventBridge, Amazon MWAA, AWS Step Functions, AWS Glue workflows)"
"Content Domain 1: Data Ingestion and Transformation (34%)";"Task 1.3: Orchestrate data pipelines";"Skill 1.3.2: Build data pipelines for performance, availability, scalability, resiliency, and fault tolerance"
"Content Domain 1: Data Ingestion and Transformation (34%)";"Task 1.3: Orchestrate data pipelines";"Skill 1.3.3: Implement and maintain serverless workflows"
"Content Domain 1: Data Ingestion and Transformation (34%)";"Task 1.3: Orchestrate data pipelines";"Skill 1.3.4: Use notification services to send alerts (for example, Amazon SNS, Amazon SQS)"
"Content Domain 1: Data Ingestion and Transformation (34%)";"Task 1.4: Apply programming concepts";"Skill 1.4.1: Optimize code to reduce runtime for data ingestion and transformation"
"Content Domain 1: Data Ingestion and Transformation (34%)";"Task 1.4: Apply programming concepts";"Skill 1.4.2: Configure Lambda functions to meet concurrency and performance needs"
"Content Domain 1: Data Ingestion and Transformation (34%)";"Task 1.4: Apply programming concepts";"Skill 1.4.3: Use programming languages and frameworks for data engineering (for example, Python, SQL, Scala, R, Java, Bash, PowerShell)"
"Content Domain 1: Data Ingestion and Transformation (34%)";"Task 1.4: Apply programming concepts";"Skill 1.4.4: Use software engineering best practices for data engineering (for example, version control, testing, logging, monitoring)"
"Content Domain 1: Data Ingestion and Transformation (34%)";"Task 1.4: Apply programming concepts";"Skill 1.4.5: Use Infrastructure as Code (IaC) to deploy data engineering solutions"
"Content Domain 1: Data Ingestion and Transformation (34%)";"Task 1.4: Apply programming concepts";"Skill 1.4.6: Use AWS SAM to package and deploy serverless data pipelines (for example, Lambda functions, Step Functions, DynamoDB tables)"
"Content Domain 1: Data Ingestion and Transformation (34%)";"Task 1.4: Apply programming concepts";"Skill 1.4.7: Use and mount storage volumes from within Lambda functions"
"Content Domain 1: Data Ingestion and Transformation (34%)";"Task 1.4: Apply programming concepts";"Skill 1.4.8: Use infrastructure as code (IaC) for repeatable resource deployment (for example, AWS CloudFormation and AWS CDK)"
"Content Domain 1: Data Ingestion and Transformation (34%)";"Task 1.4: Apply programming concepts";"Skill 1.4.9: Describe continuous integration and continuous delivery (CI/CD) (implementation, testing, and deployment of data pipelines)"
"Content Domain 1: Data Ingestion and Transformation (34%)";"Task 1.4: Apply programming concepts";"Skill 1.4.10: Define distributed computing"
"Content Domain 1: Data Ingestion and Transformation (34%)";"Task 1.4: Apply programming concepts";"Skill 1.4.11: Describe data structures and algorithms (for example, graph data structures and tree data structures)"
"Content Domain 2: Data Store Management (26%)";"Task 2.1: Choose a data store";"Skill 2.1.1: Implement the appropriate storage services for specific cost and performance requirements (for example, Amazon Redshift, Amazon EMR, AWS Lake Formation, Amazon RDS, Amazon DynamoDB, Amazon Kinesis Data Streams, Amazon MSK)"
"Content Domain 2: Data Store Management (26%)";"Task 2.1: Choose a data store";"Skill 2.1.2: Configure the appropriate storage services for specific access patterns and requirements (for example, Amazon Redshift, Amazon EMR, Lake Formation, Amazon RDS, DynamoDB)"
"Content Domain 2: Data Store Management (26%)";"Task 2.1: Choose a data store";"Skill 2.1.3: Apply storage services to appropriate use cases (for example, using indexing algorithms like HNSW with Amazon Aurora PostgreSQL and using Amazon MemoryDB for fast key/value pair access)"
"Content Domain 2: Data Store Management (26%)";"Task 2.1: Choose a data store";"Skill 2.1.4: Integrate migration tools into data processing systems (for example, AWS Transfer Family)"
"Content Domain 2: Data Store Management (26%)";"Task 2.1: Choose a data store";"Skill 2.1.5: Implement data migration or remote access methods (for example, Amazon Redshift federated queries, Amazon Redshift materialized views, Amazon Redshift Spectrum)"
"Content Domain 2: Data Store Management (26%)";"Task 2.1: Choose a data store";"Skill 2.1.6: Manage locks to prevent access to data (for example, Amazon Redshift, Amazon RDS)"
"Content Domain 2: Data Store Management (26%)";"Task 2.1: Choose a data store";"Skill 2.1.7: Manage open table formats (for example Apache Iceberg)"
"Content Domain 2: Data Store Management (26%)";"Task 2.1: Choose a data store";"Skill 2.1.8: Describe vector index types (for example, HNSW, IVF)"
"Content Domain 2: Data Store Management (26%)";"Task 2.2: Understand data cataloging systems";"Skill 2.2.1: Use data catalogs to consume data from the data's source"
"Content Domain 2: Data Store Management (26%)";"Task 2.2: Understand data cataloging systems";"Skill 2.2.2: Build and reference a technical data catalog (for example, AWS Glue Data Catalog, Apache Hive metastore)"
"Content Domain 2: Data Store Management (26%)";"Task 2.2: Understand data cataloging systems";"Skill 2.2.3: Discover schemas and use AWS Glue crawlers to populate data catalogs"
"Content Domain 2: Data Store Management (26%)";"Task 2.2: Understand data cataloging systems";"Skill 2.2.4: Synchronize partitions with a data catalog"
"Content Domain 2: Data Store Management (26%)";"Task 2.2: Understand data cataloging systems";"Skill 2.2.5: Create new source or target connections for cataloging (for example, AWS Glue)"
"Content Domain 2: Data Store Management (26%)";"Task 2.2: Understand data cataloging systems";"Skill 2.2.6: Create and manage business data catalogs (for example, Amazon SageMaker Catalog)"
"Content Domain 2: Data Store Management (26%)";"Task 2.3: Manage the lifecycle of data";"Skill 2.3.1: Perform load and unload operations to move data between Amazon S3 and Amazon Redshift"
"Content Domain 2: Data Store Management (26%)";"Task 2.3: Manage the lifecycle of data";"Skill 2.3.2: Manage S3 Lifecycle policies to change the storage tier of S3 data"
"Content Domain 2: Data Store Management (26%)";"Task 2.3: Manage the lifecycle of data";"Skill 2.3.3: Expire data when it reaches a specific age by using S3 Lifecycle policies"
"Content Domain 2: Data Store Management (26%)";"Task 2.3: Manage the lifecycle of data";"Skill 2.3.4: Manage S3 versioning and DynamoDB TTL"
"Content Domain 2: Data Store Management (26%)";"Task 2.3: Manage the lifecycle of data";"Skill 2.3.5: Delete data to meet business and legal requirements"
